DB00001	Lepirudin
DB00002	Cetuximab
DB00003	Dornase alfa
DB00004	Denileukin diftitox
DB00005	Etanercept
DB00007	Leuprolide
DB00008	Peginterferon alfa-2a
DB00009	Alteplase
DB00010	Sermorelin
DB00013	Urokinase
DB00014	Goserelin
DB00015	Reteplase
DB00016	Erythropoietin
DB00017	Salmon Calcitonin
DB00019	Pegfilgrastim
DB00020	Sargramostim
DB00022	Peginterferon alfa-2b
DB00023	Asparaginase
DB00026	Anakinra
DB00027	Gramicidin D
DB00030	Insulin Human
DB00031	Tenecteplase
DB00035	Desmopressin
DB00036	Coagulation factor VIIa Recombinant Human
DB00038	Oprelvekin
DB00039	Palifermin
DB00040	Glucagon recombinant
DB00041	Aldesleukin
DB00043	Omalizumab
DB00046	Insulin Lispro
DB00047	Insulin Glargine
DB00048	Collagenase clostridium histolyticum
DB00049	Rasburicase
DB00051	Adalimumab
DB00052	Somatropin recombinant
DB00053	Imiglucerase
DB00056	Gemtuzumab ozogamicin
DB00059	Pegaspargase
DB00060	Interferon beta-1a
DB00063	Eptifibatide
DB00065	Infliximab
DB00067	Vasopressin
DB00068	Interferon beta-1b
DB00072	Trastuzumab
DB00073	Rituximab
DB00074	Basiliximab
DB00078	Ibritumomab tiuxetan
DB00080	Daptomycin
DB00082	Pegvisomant
DB00085	Pancrelipase
DB00087	Alemtuzumab
DB00088	Alglucerase
DB00090	Laronidase
DB00091	Cyclosporine
DB00092	Alefacept
DB00095	Efalizumab
DB00099	Filgrastim
DB00100	Coagulation Factor IX
DB00102	Becaplermin
DB00103	Agalsidase beta
DB00104	Octreotide
DB00106	Abarelix
DB00107	Oxytocin
DB00108	Natalizumab
DB00109	Enfuvirtide
DB00110	Palivizumab
DB00111	Daclizumab
DB00112	Bevacizumab
DB00115	Cyanocobalamin
DB00121	Biotin
DB00122	Choline
DB00126	Vitamin C
DB00128	L-Aspartic Acid
DB00130	L-Glutamine
DB00131	Adenosine monophosphate
DB00133	L-Serine
DB00136	Calcitriol
DB00137	Xanthophyll
DB00139	Succinic acid
DB00140	Riboflavin
DB00145	Glycine
DB00146	Calcidiol
DB00151	L-Cysteine
DB00152	Thiamine
DB00153	Ergocalciferol
DB00158	Folic Acid
DB00159	Icosapent
DB00162	Vitamin A
DB00163	Vitamin E
DB00165	Pyridoxine
DB00166	Lipoic Acid
DB00169	Cholecalciferol
DB00175	Pravastatin
DB00176	Fluvoxamine
DB00177	Valsartan
DB00178	Ramipril
DB00179	Masoprocol
DB00180	Flunisolide
DB00181	Baclofen
DB00182	Amphetamine
DB00184	Nicotine
DB00186	Lorazepam
DB00187	Esmolol
DB00188	Bortezomib
DB00189	Ethchlorvynol
DB00190	Carbidopa
DB00191	Phentermine
DB00193	Tramadol
DB00194	Vidarabine
DB00195	Betaxolol
DB00196	Fluconazole
DB00198	Oseltamivir
DB00199	Erythromycin
DB00200	Hydroxocobalamin
DB00201	Caffeine
DB00203	Sildenafil
DB00205	Pyrimethamine
DB00206	Reserpine
DB00207	Azithromycin
DB00208	Ticlopidine
DB00209	Trospium
DB00210	Adapalene
DB00211	Midodrine
DB00213	Pantoprazole
DB00214	Torasemide
DB00215	Citalopram
DB00216	Eletriptan
DB00218	Moxifloxacin
DB00220	Nelfinavir
DB00222	Glimepiride
DB00223	Diflorasone
DB00224	Indinavir
DB00226	Guanadrel
DB00227	Lovastatin
DB00230	Pregabalin
DB00231	Temazepam
DB00232	Methyclothiazide
DB00233	Aminosalicylic Acid
DB00234	Reboxetine
DB00235	Milrinone
DB00237	Butabarbital
DB00238	Nevirapine
DB00239	Oxiconazole
DB00240	Alclometasone
DB00241	Butalbital
DB00242	Cladribine
DB00243	Ranolazine
DB00244	Mesalazine
DB00245	Benzatropine
DB00246	Ziprasidone
DB00248	Cabergoline
DB00249	Idoxuridine
DB00250	Dapsone
DB00251	Terconazole
DB00252	Phenytoin
DB00253	Medrysone
DB00254	Doxycycline
DB00257	Clotrimazole
DB00258	Calcium Acetate
DB00259	Sulfanilamide
DB00260	Cycloserine
DB00261	Anagrelide
DB00262	Carmustine
DB00263	Sulfisoxazole
DB00264	Metoprolol
DB00265	Crotamiton
DB00266	Dicoumarol
DB00268	Ropinirole
DB00270	Isradipine
DB00273	Topiramate
DB00274	Cefmetazole
DB00275	Olmesartan
DB00277	Theophylline
DB00278	Argatroban
DB00279	Liothyronine
DB00280	Disopyramide
DB00281	Lidocaine
DB00282	Pamidronate
DB00283	Clemastine
DB00284	Acarbose
DB00285	Venlafaxine
DB00286	Conjugated Estrogens
DB00287	Travoprost
DB00288	Amcinonide
DB00289	Atomoxetine
DB00290	Bleomycin
DB00291	Chlorambucil
DB00295	Morphine
DB00297	Bupivacaine
DB00299	Penciclovir
DB00300	Tenofovir
DB00302	Tranexamic Acid
DB00303	Ertapenem
DB00305	Mitomycin
DB00306	Talbutal
DB00307	Bexarotene
DB00309	Vindesine
DB00310	Chlorthalidone
DB00312	Pentobarbital
DB00313	Valproic Acid
DB00314	Capreomycin
DB00315	Zolmitriptan
DB00316	Acetaminophen
DB00317	Gefitinib
DB00318	Codeine
DB00319	Piperacillin
DB00320	Dihydroergotamine
DB00321	Amitriptyline
DB00322	Floxuridine
DB00323	Tolcapone
DB00324	Fluorometholone
DB00325	Nitroprusside
DB00326	Calcium Gluceptate
DB00327	Hydromorphone
DB00328	Indomethacin
DB00330	Ethambutol
DB00331	Metformin
DB00332	Ipratropium bromide
DB00333	Methadone
DB00334	Olanzapine
DB00335	Atenolol
DB00336	Nitrofural
DB00338	Omeprazole
DB00339	Pyrazinamide
DB00340	Metixene
DB00341	Cetirizine
DB00343	Diltiazem
DB00344	Protriptyline
DB00346	Alfuzosin
DB00347	Trimethadione
DB00348	Nitisinone
DB00349	Clobazam
DB00350	Minoxidil
DB00351	Megestrol acetate
DB00352	Tioguanine
DB00353	Methylergometrine
DB00354	Buclizine
DB00355	Aztreonam
DB00356	Chlorzoxazone
DB00357	Aminoglutethimide
DB00358	Mefloquine
DB00359	Sulfadiazine
DB00360	Sapropterin
DB00361	Vinorelbine
DB00362	Anidulafungin
DB00363	Clozapine
DB00364	Sucralfate
DB00366	Doxylamine
DB00367	Levonorgestrel
DB00368	Norepinephrine
DB00370	Mirtazapine
DB00371	Meprobamate
DB00373	Timolol
DB00374	Treprostinil
DB00375	Colestipol
DB00376	Trihexyphenidyl
DB00377	Palonosetron
DB00379	Mexiletine
DB00381	Amlodipine
DB00383	Oxyphencyclimine
DB00384	Triamterene
DB00385	Valrubicin
DB00387	Procyclidine
DB00388	Phenylephrine
DB00389	Carbimazole
DB00390	Digoxin
DB00391	Sulpiride
DB00393	Nimodipine
DB00394	Beclomethasone dipropionate
DB00395	Carisoprodol
DB00396	Progesterone
DB00397	Phenylpropanolamine
DB00398	Sorafenib
DB00399	Zoledronic acid
DB00400	Griseofulvin
DB00401	Nisoldipine
DB00402	Eszopiclone
DB00404	Alprazolam
DB00405	Dexbrompheniramine
DB00406	Gentian Violet
DB00408	Loxapine
DB00410	Mupirocin
DB00411	Carbachol
DB00413	Pramipexole
DB00415	Ampicillin
DB00417	Phenoxymethylpenicillin
DB00418	Secobarbital
DB00419	Miglustat
DB00420	Promazine
DB00421	Spironolactone
DB00422	Methylphenidate
DB00423	Methocarbamol
DB00424	Hyoscyamine
DB00425	Zolpidem
DB00426	Famciclovir
DB00427	Triprolidine
DB00429	Carboprost Tromethamine
DB00431	Lindane
DB00432	Trifluridine
DB00433	Prochlorperazine
DB00434	Cyproheptadine
DB00435	Nitric Oxide
DB00436	Bendroflumethiazide
DB00437	Allopurinol
DB00438	Ceftazidime
DB00440	Trimethoprim
DB00441	Gemcitabine
DB00442	Entecavir
DB00443	Betamethasone
DB00444	Teniposide
DB00445	Epirubicin
DB00446	Chloramphenicol
DB00448	Lansoprazole
DB00449	Dipivefrin
DB00451	Levothyroxine
DB00454	Pethidine
DB00455	Loratadine
DB00456	Cefalotin
DB00457	Prazosin
DB00458	Imipramine
DB00459	Acitretin
DB00460	Verteporfin
DB00461	Nabumetone
DB00462	Methylscopolamine bromide
DB00464	Sodium Tetradecyl Sulfate
DB00465	Ketorolac
DB00467	Enoxacin
DB00468	Quinine
DB00469	Tenoxicam
DB00471	Montelukast
DB00472	Fluoxetine
DB00475	Chlordiazepoxide
DB00476	Duloxetine
DB00477	Chlorpromazine
DB00478	Rimantadine
DB00479	Amikacin
DB00480	Lenalidomide
DB00481	Raloxifene
DB00482	Celecoxib
DB00484	Brimonidine
DB00485	Dicloxacillin
DB00488	Altretamine
DB00490	Buspirone
DB00491	Miglitol
DB00492	Fosinopril
DB00493	Cefotaxime
DB00494	Entacapone
DB00495	Zidovudine
DB00496	Darifenacin
DB00497	Oxycodone
DB00499	Flutamide
DB00500	Tolmetin
DB00501	Cimetidine
DB00502	Haloperidol
DB00503	Ritonavir
DB00507	Nitazoxanide
DB00508	Triflupromazine
DB00509	Dextrothyroxine
DB00512	Vancomycin
DB00514	Dextromethorphan
DB00515	Cisplatin
DB00517	Anisotropine Methylbromide
DB00518	Albendazole
DB00519	Trandolapril
DB00520	Caspofungin
DB00521	Carteolol
DB00524	Metolazone
DB00525	Tolnaftate
DB00526	Oxaliplatin
DB00527	Cinchocaine
DB00528	Lercanidipine
DB00530	Erlotinib
DB00531	Cyclophosphamide
DB00535	Cefdinir
DB00536	Guanidine
DB00537	Ciprofloxacin
DB00539	Toremifene
DB00540	Nortriptyline
DB00541	Vincristine
DB00542	Benazepril
DB00543	Amoxapine
DB00544	Fluorouracil
DB00545	Pyridostigmine
DB00547	Desoximetasone
DB00548	Azelaic Acid
DB00549	Zafirlukast
DB00550	Propylthiouracil
DB00551	Acetohydroxamic Acid
DB00552	Pentostatin
DB00553	Methoxsalen
DB00554	Piroxicam
DB00555	Lamotrigine
DB00557	Hydroxyzine
DB00558	Zanamivir
DB00559	Bosentan
DB00560	Tigecycline
DB00561	Doxapram
DB00563	Methotrexate
DB00564	Carbamazepine
DB00566	Succimer
DB00567	Cephalexin
DB00568	Cinnarizine
DB00569	Fondaparinux sodium
DB00570	Vinblastine
DB00571	Propranolol
DB00573	Fenoprofen
DB00575	Clonidine
DB00576	Sulfamethizole
DB00577	Valaciclovir
DB00578	Carbenicillin
DB00579	Mazindol
DB00581	Lactulose
DB00582	Voriconazole
DB00583	L-Carnitine
DB00584	Enalapril
DB00585	Nizatidine
DB00586	Diclofenac
DB00588	Fluticasone Propionate
DB00589	Lisuride
DB00590	Doxazosin
DB00591	Fluocinolone Acetonide
DB00592	Piperazine
DB00593	Ethosuximide
DB00594	Amiloride
DB00595	Oxytetracycline
DB00596	Ulobetasol
DB00598	Labetalol
DB00599	Thiopental
DB00601	Linezolid
DB00602	Ivermectin
DB00603	Medroxyprogesterone acetate
DB00604	Cisapride
DB00605	Sulindac
DB00607	Nafcillin
DB00608	Chloroquine
DB00609	Ethionamide
DB00611	Butorphanol
DB00612	Bisoprolol
DB00615	Rifabutin
DB00617	Paramethadione
DB00618	Demeclocycline
DB00619	Imatinib
DB00620	Triamcinolone
DB00622	Nicardipine
DB00623	Fluphenazine
DB00624	Testosterone
DB00625	Efavirenz
DB00626	Bacitracin
DB00627	Niacin
DB00628	Clorazepate
DB00629	Guanabenz
DB00630	Alendronic acid
DB00631	Clofarabine
DB00632	Docosanol
DB00634	Sulfacetamide
DB00635	Prednisone
DB00636	Clofibrate
DB00637	Astemizole
DB00639	Butoconazole
DB00640	Adenosine
DB00641	Simvastatin
DB00642	Pemetrexed
DB00643	Mebendazole
DB00644	Gonadorelin
DB00645	Dyclonine
DB00646	Nystatin
DB00647	Dextropropoxyphene
DB00648	Mitotane
DB00649	Stavudine
DB00650	Leucovorin
DB00651	Dyphylline
DB00652	Pentazocine
DB00653	Magnesium Sulfate
DB00654	Latanoprost
DB00655	Estrone
DB00656	Trazodone
DB00657	Mecamylamine
DB00659	Acamprosate
DB00660	Metaxalone
DB00661	Verapamil
DB00662	Trimethobenzamide
DB00663	Flumethasone
DB00665	Nilutamide
DB00666	Nafarelin
DB00667	Histamine Phosphate
DB00668	Epinephrine
DB00669	Sumatriptan
DB00670	Pirenzepine
DB00671	Cefixime
DB00672	Chlorpropamide
DB00673	Aprepitant
DB00674	Galantamine
DB00675	Tamoxifen
DB00678	Losartan
DB00679	Thioridazine
DB00680	Moricizine
DB00681	Amphotericin B
DB00682	Warfarin
DB00683	Midazolam
DB00684	Tobramycin
DB00685	Trovafloxacin
DB00686	Pentosan Polysulfate
DB00687	Fludrocortisone
DB00690	Flurazepam
DB00691	Moexipril
DB00692	Phentolamine
DB00694	Daunorubicin
DB00695	Furosemide
DB00696	Ergotamine
DB00697	Tizanidine
DB00698	Nitrofurantoin
DB00700	Eplerenone
DB00701	Amprenavir
DB00703	Methazolamide
DB00704	Naltrexone
DB00705	Delavirdine
DB00706	Tamsulosin
DB00707	Porfimer
DB00708	Sufentanil
DB00709	Lamivudine
DB00710	Ibandronate
DB00711	Diethylcarbamazine
DB00712	Flurbiprofen
DB00713	Oxacillin
DB00714	Apomorphine
DB00715	Paroxetine
DB00716	Nedocromil
DB00717	Norethisterone
DB00718	Adefovir Dipivoxil
DB00719	Azatadine
DB00722	Lisinopril
DB00723	Methoxamine
DB00724	Imiquimod
DB00725	Homatropine Methylbromide
DB00726	Trimipramine
DB00727	Nitroglycerin
DB00730	Thiabendazole
DB00731	Nateglinide
DB00733	Pralidoxime
DB00734	Risperidone
DB00735	Naftifine
DB00736	Esomeprazole
DB00737	Meclizine
DB00738	Pentamidine
DB00740	Riluzole
DB00741	Hydrocortisone
DB00742	Mannitol
DB00744	Zileuton
DB00745	Modafinil
DB00746	Deferoxamine
DB00747	Scopolamine
DB00748	Carbinoxamine
DB00749	Etodolac
DB00750	Prilocaine
DB00751	Epinastine
DB00752	Tranylcypromine
DB00754	Ethotoin
DB00755	Tretinoin
DB00757	Dolasetron
DB00758	Clopidogrel
DB00759	Tetracycline
DB00760	Meropenem
DB00761	Potassium Chloride
DB00762	Irinotecan
DB00763	Methimazole
DB00764	Mometasone
DB00765	Metyrosine
DB00766	Clavulanate
DB00768	Olopatadine
DB00770	Alprostadil
DB00771	Clidinium
DB00772	Malathion
DB00773	Etoposide
